candidate	service_level	archive	size	sha256
vc5-sp3	SP3	DDRAW.LIB	19282	d2150aeb8c09eed04a566751c98ccd1738d186d304f0268f22d5f6f655e80a97
vc5-sp3	SP3	ddraw.lib	15336	ff9b53803b300dfec1e9c3403acdc4614474bbb82c256d1a9c930c6d84ab783a
vc5-sp3	SP3	DSOUND.LIB	4550	4d6e8e1e0af841da16eb621f52ef40cab455b9bd31d4b9407a549e827d257773
vc5-sp3	SP3	dsound.lib	5646	d3fa26193425aa6f8036803b9b3d54844de0e818d3cd5127a4e82270eb076c82
vc5-sp3	SP3	dxguid.lib	56332	1f41db9101614d4ac19a681d399c074e6166b566315ac62c4d913556582aef85
vc5-sp3	SP3	LIBCIMT.LIB	182244	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e
vc5-sp3	SP3	LIBCMT.LIB	952914	200eb3e8aa6744fdd6dc1726911e16c58ee4d25b338f4677e8621f334aa280b3
vc5-sp3	SP3	LIBCPMT.LIB	889982	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c
vc5-sp3	SP3	MFC42.LIB	4313338	f71498f3a592df39706bb1b545d74430aab093200fa3d319fa5894972a9ed286
vc5-sp3	SP3	MSVCPRT.LIB	1880626	7527f05ff8fa29152bb57e8ac7cd3c5d5ffe56dfa17fe44a6003499d6103852c
vc5-sp3	SP3	NAFXCW.LIB	7720024	66b1a6039a983a5ba1d0d8921e5cae66dda2023f20fcef0f12be0b77166fd0f4
vc5-sp3	SP3	OLDNAMES.LIB	61232	56190b253c7c5f127569cd1dc037e27600f42e4952f558e7ab1966cbb98cb1d6
