# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# archive_set_sha256=b734ff51e5a98964c3dccbb1877bb3298ab8db5ca87b475caca0c2a4c48e57aa
# signatures=7143 control_signatures=0 manual_starts=13023 min_len=8 min_fixed=6 high_len=16 high_fixed=10
# offstart_min_len=24 offstart_min_fixed=16
rva	name	lib	confidence	extent	fixed_bytes	identity_match_count	rva_identity_count	member	archive_sha256	member_sha256	source	notes
0x001920	??_Gfacet@locale@std@@UAEPAXI@Z	LIBCPMT.LIB	AMBIG	0x20	24	1	4	build/intel/mt_obj/locale.obj	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c	864bde5ab934981cf0cad21d525d89b9b1f136298cdee844f77357df6f40ba63	anchored	rva_multiidentity=4
0x001920	??_Gfacet@locale@std@@UAEPAXI@Z	LIBCPMT.LIB	AMBIG	0x20	24	1	4	build/intel/mt_obj/locale0.obj	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c	3e4cff6b165497e4e0a931fd2e7f77bc516701c268ca7c961c281db8fe04163d	anchored	rva_multiidentity=4
0x001920	??_Gfacet@locale@std@@UAEPAXI@Z	LIBCPMT.LIB	AMBIG	0x20	24	1	4	build/intel/mt_obj/wlocale.obj	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c	e7cee06d0a48ac1c7083891a8575f802c29a5987dbdbd9701e5eb12bb3f68eb7	anchored	rva_multiidentity=4
0x001920	??_Gfacet@locale@std@@UAEPAXI@Z	LIBCPMT.LIB	AMBIG	0x20	24	1	4	build/intel/mt_obj/xlocale.obj	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c	3e1135ee3ff6dd4f7bd11dd705c2433e0137e08e18d90593043c988c9c1c8a3c	anchored	rva_multiidentity=4
0x001b80	??_Gios@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/_ios.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	f61d1dd17fdb6b82b0b6d3df19a5208614d7e452847ebe47c03faa30a1edfb40	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gstrstreambuf@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/_strstre.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	cfcf552c1d10ad8beff0d50e7a3aece07c2a8aee3f78b12031ad0b225c93259d	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gfilebuf@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/filebuf.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	99d60b89dd19578d595ff8746e0b221207f2588223b8d0c6e2418553c16fe919	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gstdiobuf@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/stdiostr.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	7cc6f7419452dee32b5e14fdd7d0f60b7e7bbc33cd64fdee29481d375011cc8b	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gstreambuf@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/streamb.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	be1ec632d2501b2f084fdf5a0afc66ac1196bbedabaa91b2c45e878ccad6b8bf	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_G__non_rtti_object@@UAEPAXI@Z	LIBCMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/rtti.obj	1f18290e7cc8419f2d343d7c262b1b04146c244b58e23dfac95c6a1d684cfd4f	842eedb30a430866e2945420b80fd0a75e0c9e6385323c14f0e4ed6a73a270ae	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gbad_cast@@UAEPAXI@Z	LIBCMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/rtti.obj	1f18290e7cc8419f2d343d7c262b1b04146c244b58e23dfac95c6a1d684cfd4f	842eedb30a430866e2945420b80fd0a75e0c9e6385323c14f0e4ed6a73a270ae	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gbad_typeid@@UAEPAXI@Z	LIBCMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/rtti.obj	1f18290e7cc8419f2d343d7c262b1b04146c244b58e23dfac95c6a1d684cfd4f	842eedb30a430866e2945420b80fd0a75e0c9e6385323c14f0e4ed6a73a270ae	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gexception@@UAEPAXI@Z	LIBCMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/stdexcpt.obj	1f18290e7cc8419f2d343d7c262b1b04146c244b58e23dfac95c6a1d684cfd4f	bb49c42f9eef3383925d0402ba2325361707be16b4e3a117f9ac6dda7ffe0e55	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gtype_info@@UAEPAXI@Z	LIBCMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/typinfo.obj	1f18290e7cc8419f2d343d7c262b1b04146c244b58e23dfac95c6a1d684cfd4f	9e10c96712006f5d7690a02ecf734820d4aeeb6678ec81042603953ef4553592	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gfailure@ios_base@std@@UAEPAXI@Z	LIBCPMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/ios.obj	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c	f641e3b3f53a4e7a9ee3e5f001242776aacac877adb70732094503ba81a3d15b	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gios_base@std@@UAEPAXI@Z	LIBCPMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/ios.obj	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c	f641e3b3f53a4e7a9ee3e5f001242776aacac877adb70732094503ba81a3d15b	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_Gruntime_error@std@@UAEPAXI@Z	LIBCPMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/ios.obj	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c	f641e3b3f53a4e7a9ee3e5f001242776aacac877adb70732094503ba81a3d15b	anchored	identity_multimatch=143;rva_multiidentity=67
0x001b80	??_G?$basic_filebuf@DU?$char_traits@D@std@@@std@@UAEPAXI@Z	LIBCPMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/iostream.obj	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c	3d9583aaee8fe07a6911b62835c1ddf79930b6f16895bf98f0b90bc1039465cf	anchored	identity_multimatch=143;rva_multiidentity=67
