rva	size	class	confidence	library	member	symbol	candidates	retail_sha256	archive_sha256	member_sha256	masked_sha256	evidence
0x1000	0x5b	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			dc10ea105f639fd32688bd9390b69c6341d74c1c9303d7fdb800fcae8a79e4ca	
0x1060	0x7a	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			f1bffb10bdbf9de129bfcff6f193757852e06e804f74208cddb00b42de26fbed	
0x10e0	0x37	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			6a69039b47af45ab1cb983bfcae7e4967743f9f451739cb75837d7b6e8014dd8	
0x1120	0x226	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			001061cb424b26c6796e5294f256f2a1c79b869b939ddeae57603104c6894559	
0x1350	0x1a3	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			ef55b7ccf309b7462b1051e040d558d77f21d6c668b2eef151b840562efc15ed	
0x1500	0x92	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			aec62fcd4f544348e00183ed21c9a9caa10bb6111d1356a88d751a7c67f307ba	
0x15a0	0x88	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			e67a994d2eef081738f70a485db840db748f04effdfaaa4d8d6e6181b0ff45dc	
0x1630	0x63	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			b50cee5da7155ce422243ef6bdd7055636c7a10de2c4e7157dc52fe927124beb	
0x16a0	0x1c	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			3de355123fe2580a0062fcdccd7a77d7da11bca65b3131feb538898ae6a4b690	
0x16c0	0x16	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			b8b1e5e92e90a01d5f7af1a6b50c9c214048e65dcebd99e072c76c9f3c8fc7d0	
0x16e0	0x1a	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			479af5f667d0b602d746ccb356d5f70e621094460548c0bf062ab9ef7aedf471	
0x1700	0x4	library-exact	HIGH	NAFXCW.LIB	$NW/filemem.obj	?GetPosition@CMemFile@@UBEKXZ	1	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3	66b1a6039a983a5ba1d0d8921e5cae66dda2023f20fcef0f12be0b77166fd0f4	9d8a70a1ad6dd812dfe113318c0e7e0a727cc8cb29e0da3dc6823e416b05e69f	01d3abacb68aac3537badfe563d0e21d0244fb61db1d805bcef8f455407fad96	unique union-reloc-mask exact extent
0x1710	0x22	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			988337b69b614b392b060c40d9ae165eb1b925d419e99f26bb375d5ee3123f9f	
0x1740	0x1b	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			d6e69f65653882c56707e08b0258870b8d3e1d5f00e8db3e42f3d85000f9322f	
0x1760	0x169	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			97d44b934c0b784a08a1aee1214df49cd44140ce650e4c6d8a9c4a30a0e7c494	
0x18d0	0x20	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			f940624f158d3409be4a327a1e25d961e3438c7d990a801eee1868e9b5ea51bf	
0x18f0	0x27	unknown					0	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3			b84f13221a0479999f02f91b30fbe51e7bb13b3145ed400ad6d2702d737af9b5	
0x1920	0x20	library-exact	AMBIG	LIBCPMT.LIB	build/intel/mt_obj/locale.obj	??_Gfacet@locale@std@@UAEPAXI@Z	4	5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c	864bde5ab934981cf0cad21d525d89b9b1f136298cdee844f77357df6f40ba63	8ed4fe8ea6e4f03dbc5ab3622eb711135e434559fe6f25b3169319383cf095be	collision retained
