# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Exact executable-native data extents; these override derived rooms.
rva	size	source	evidence
0x197058	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197070	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197088	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197100	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197118	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197130	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197148	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197160	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1971c0	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1971d8	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1971f0	0x58	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197248	0x58	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1972a0	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1972b8	0x18	CRuntimeClass	MFC 4.x six-dword runtime-class record
0x1972d0	0x18	CRuntimeClass	MFC 4.x six-dword runtime-class record
0x1972e8	0x18	CRuntimeClass	MFC 4.x six-dword runtime-class record
0x197300	0x18	CRuntimeClass	MFC 4.x six-dword runtime-class record
0x197318	0x18	CRuntimeClass	MFC 4.x six-dword runtime-class record
0x197330	0x18	CRuntimeClass	MFC 4.x six-dword runtime-class record
0x197348	0x18	CRuntimeClass	MFC 4.x six-dword runtime-class record
0x197360	0x18	CRuntimeClass	MFC 4.x six-dword runtime-class record
0x197378	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197390	0x34	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1973c8	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1973e0	0x38	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197418	0x44	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197460	0x40	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1974a0	0x3c	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1974e0	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1974f8	0x44	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197550	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1975c8	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197640	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1976b8	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197730	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1977b8	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197830	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1978a8	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197920	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1979a8	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197a20	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197aa8	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197ac0	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197b38	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197bc0	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197c48	0x14	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197c60	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197ce8	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197d70	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197df8	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197e80	0x78	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197ef8	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x197f80	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x198008	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x198090	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x198118	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x1981a0	0x88	vtable	relocated text-pointer run split at RTTI and code vptr refs
0x198228	0x90	vtable	relocated text-pointer run split at RTTI and code vptr refs
