# Statically-linked library DATA labels proven against pinned VC5 SP2.
# library_data is the deliberate non-reconstructed holding unit.
rva	size	name	unit	note
0x1973c8	0x14	??_7CBitmap@@6B@	library_data	VC5 SP2 NAFXCW.LIB /714: unique exact symbol+extent
0x19a928	0x14	??_7CFont@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\occcont.obj: unique exact symbol+extent
0x19cdd4	0x14	??_7CStringArray@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\array_s.obj: unique exact symbol+extent
0x19ce34	0x84	??_7CWinThread@@6B@	library_data	VC5 SP2 NAFXCW.LIB /459: unique exact symbol+extent
0x19cef4	0x14	??_7CPtrArray@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\array_p.obj: unique exact symbol+extent
0x19cf1c	0x14	??_7CDWordArray@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\array_d.obj: unique exact symbol+extent
0x19cf44	0x14	??_7CWordArray@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\array_w.obj: unique exact symbol+extent
0x19cfb4	0x14	??_7CMapWordToPtr@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\map_wp.obj: unique exact symbol+extent
0x19d1cc	0x7c	??_7CDC@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\wingdi.obj: unique exact symbol+extent
0x19d24c	0x7c	??_7CClientDC@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\wingdi.obj: unique exact symbol+extent
0x19d2cc	0x7c	??_7CWindowDC@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\wingdi.obj: unique exact symbol+extent
0x19d34c	0x7c	??_7CPaintDC@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\wingdi.obj: unique exact symbol+extent
0x19d3fc	0x1c	??_7CResourceException@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\wingdi.obj: unique exact symbol+extent
0x19d41c	0x1c	??_7CUserException@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\wingdi.obj: unique exact symbol+extent
0x19d5a4	0x14	??_7CUIntArray@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\array_u.obj: unique exact symbol+extent
0x19d5d4	0x14	??_7CMapStringToString@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\map_ss.obj: unique exact symbol+extent
0x19d66c	0x1c	??_7CException@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\except.obj: unique exact symbol+extent
0x19d68c	0x1c	??_7CMemoryException@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\except.obj: unique exact symbol+extent
0x19d6ac	0x1c	??_7CNotSupportedException@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\except.obj: unique exact symbol+extent
0x19d6cc	0x4	??_7_AFX_THREAD_STATE@@6B@	library_data	VC5 SP2 NAFXCW.LIB /816: unique exact symbol+extent
0x19d6dc	0x4	??_7AFX_MODULE_STATE@@6B@	library_data	VC5 SP2 NAFXCW.LIB /816: unique exact symbol+extent
0x19d6e4	0x4	??_7AFX_MODULE_THREAD_STATE@@6B@	library_data	VC5 SP2 NAFXCW.LIB /816: unique exact symbol+extent
0x19d6ec	0x4	??_7_AFX_BASE_MODULE_STATE@@6B@	library_data	VC5 SP2 NAFXCW.LIB /816: unique exact symbol+extent
0x19db7c	0xfc	??_7CFrameWnd@@6B@	library_data	VC5 SP2 NAFXCW.LIB $NW\winfrm.obj: unique exact symbol+extent
