# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Hand-owned vtable catalog refreshed only by explicit --write.
# kind=unresolved proves retail structure, not reconstructed source.
rva	size	name	kind	note
0x197058	0x14	__rom1_vtable_197058	unresolved	runtime-class; 5 exact slots; 0 code ref(s); promote only with reconstructed source
0x197070	0x14	__rom1_vtable_197070	unresolved	code-ref; 5 exact slots; 3 code ref(s); promote only with reconstructed source
0x197088	0x78	__rom1_vtable_197088	unresolved	code-ref; 30 exact slots; 2 code ref(s); promote only with reconstructed source
0x197100	0x14	__rom1_vtable_197100	unresolved	code-ref; 5 exact slots; 3 code ref(s); promote only with reconstructed source
0x197118	0x14	__rom1_vtable_197118	unresolved	code-ref; 5 exact slots; 5 code ref(s); promote only with reconstructed source
0x197130	0x14	__rom1_vtable_197130	unresolved	code-ref; 5 exact slots; 5 code ref(s); promote only with reconstructed source
0x197148	0x14	__rom1_vtable_197148	unresolved	code-ref; 5 exact slots; 4 code ref(s); promote only with reconstructed source
0x197160	0x14	__rom1_vtable_197160	unresolved	code-ref; 5 exact slots; 3 code ref(s); promote only with reconstructed source
0x1971c0	0x14	__rom1_vtable_1971c0	unresolved	runtime-class; 5 exact slots; 0 code ref(s); promote only with reconstructed source
0x1971d8	0x14	__rom1_vtable_1971d8	unresolved	code-ref; 5 exact slots; 11 code ref(s); promote only with reconstructed source
0x1971f0	0x58	??_7CHorisontalWoodenBridge@@6B@	unresolved	code-ref; 22 exact slots; 1 code ref(s); promote only with reconstructed source
0x197248	0x58	??_7CVerticalWoodenBridge@@6B@	unresolved	code-ref; 22 exact slots; 1 code ref(s); promote only with reconstructed source
0x1972a0	0x14	__rom1_vtable_1972a0	unresolved	code-ref; 5 exact slots; 20 code ref(s); promote only with reconstructed source
0x197378	0x14	??_7CGamePalette@@6B@	unresolved	code-ref; 5 exact slots; 3 code ref(s); promote only with reconstructed source
0x197390	0x34	??_7CGameBitmap@@6B@	unresolved	code-ref; 13 exact slots; 4 code ref(s); promote only with reconstructed source
0x1973e0	0x38	??_7CSprite16@@6B@	unresolved	code-ref; 14 exact slots; 1 code ref(s); promote only with reconstructed source
0x197418	0x44	??_7CSprite256@@6B@	unresolved	code-ref; 17 exact slots; 2 code ref(s); promote only with reconstructed source
0x197460	0x40	??_7CBmp64k@@6B@	unresolved	code-ref; 16 exact slots; 2 code ref(s); promote only with reconstructed source
0x1974a0	0x3c	??_7CBmp256@@6B@	unresolved	code-ref; 15 exact slots; 2 code ref(s); promote only with reconstructed source
