# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# _cinit .CRT$XI/.CRT$XC slots and exact entry/target extents.
table	slot_rva	entry_rva	target_rva	entry_size	target_size	role	evidence
XI	0x1b8228	0x153e80	0x153e80	0x36	0x36	direct	FPO exact extent
XI	0x1b822c	0x1637c0	0x1637c0	0xbc	0xbc	direct	FPO exact extent
XI	0x1b8230	0x161210	0x161210	0x11	0x11	direct	FPO exact extent
XC	0x1b8004	0x18494d	0x18494d	0xa	0xa	direct	FPO exact extent
XC	0x1b8008	0x184c08	0x184c08	0xa	0xa	direct	FPO exact extent
XC	0x1b800c	0x185391	0x185391	0xa	0xa	direct	FPO exact extent
XC	0x1b8010	0x185f51	0x185f51	0xa	0xa	direct	FPO exact extent
XC	0x1b8014	0x185f77	0x185f77	0xa	0xa	direct	FPO exact extent
XC	0x1b8018	0x16f1c7	0x16f1c7	0xa	0xa	direct	FPO exact extent
XC	0x1b801c	0x002380	0x002380	0xf	0xf	direct	recognized framed dynamic-initializer wrapper
XC	0x1b8020	0x027c60	0x027c60	0xa	0xa	direct	FPO exact extent
XC	0x1b8024	0x04adb0	0x04adc0	0x5	0x10	forwarder	five-byte E9 forwarder
XC	0x1b8028	0x063100	0x063100	0xa	0xa	direct	FPO exact extent
XC	0x1b802c	0x067d90	0x067d90	0xa	0xa	direct	FPO exact extent
XC	0x1b8030	0x067dd0	0x067dd0	0xa	0xa	direct	FPO exact extent
XC	0x1b8034	0x067e10	0x067e10	0xa	0xa	direct	FPO exact extent
XC	0x1b8038	0x067e50	0x067e50	0xa	0xa	direct	FPO exact extent
XC	0x1b803c	0x067e90	0x067e90	0xa	0xa	direct	FPO exact extent
XC	0x1b8040	0x067ed0	0x067ed0	0xa	0xa	direct	FPO exact extent
XC	0x1b8044	0x067f10	0x067f10	0xa	0xa	direct	FPO exact extent
XC	0x1b8048	0x067f50	0x067f50	0xa	0xa	direct	FPO exact extent
XC	0x1b804c	0x067f90	0x067f90	0xa	0xa	direct	FPO exact extent
XC	0x1b8050	0x067fd0	0x067fd0	0xa	0xa	direct	FPO exact extent
XC	0x1b8054	0x068010	0x068010	0xa	0xa	direct	FPO exact extent
XC	0x1b8058	0x068050	0x068050	0xa	0xa	direct	FPO exact extent
XC	0x1b805c	0x068090	0x068090	0xa	0xa	direct	FPO exact extent
XC	0x1b8060	0x0680d0	0x0680d0	0xa	0xa	direct	FPO exact extent
XC	0x1b8064	0x068110	0x068110	0xa	0xa	direct	FPO exact extent
XC	0x1b8068	0x068150	0x068150	0xa	0xa	direct	FPO exact extent
XC	0x1b806c	0x068190	0x068190	0xa	0xa	direct	FPO exact extent
XC	0x1b8070	0x0681d0	0x0681d0	0xa	0xa	direct	FPO exact extent
XC	0x1b8074	0x068210	0x068210	0xa	0xa	direct	FPO exact extent
XC	0x1b8078	0x068250	0x068250	0xa	0xa	direct	FPO exact extent
XC	0x1b807c	0x068290	0x068290	0xa	0xa	direct	FPO exact extent
XC	0x1b8080	0x0682d0	0x0682d0	0xa	0xa	direct	FPO exact extent
XC	0x1b8084	0x068320	0x068320	0xa	0xa	direct	FPO exact extent
