# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Every valid VC5 /GX registration stub and its FuncInfo closure.
stub_rva	stub_size	frame_handler_rva	funcinfo_rva	max_state	unwind_map_rva	try_blocks	try_map_rva	ip_map_entries	ip_map_rva	action_refs	unique_actions	tail_actions	owner_ref_sites	evidence
0x1868e3	0xa	0x153910	0x1a3548	2	0x1a3568	0	0x000000	0	0x000000	2	2	2	0x001003	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x18690b	0xa	0x153910	0x1a3578	3	0x1a3598	0	0x000000	0	0x000000	3	3	3	0x001063	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186941	0xa	0x153910	0x1a35b0	2	0x1a35d0	0	0x000000	0	0x000000	2	2	2	0x001123	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x18695a	0xa	0x153910	0x1a35e0	1	0x1a3600	0	0x000000	0	0x000000	1	1	1	0x001359	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x18697a	0xa	0x153910	0x1a3608	1	0x1a3628	0	0x000000	0	0x000000	1	1	1	0x001503	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x18699a	0xa	0x153910	0x1a3630	1	0x1a3650	0	0x000000	0	0x000000	1	1	1	0x0015a3	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x1869b8	0xa	0x153910	0x1a3658	1	0x1a3678	0	0x000000	0	0x000000	1	1	1	0x001993	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x1869ee	0xa	0x153910	0x1a3680	3	0x1a36a0	0	0x000000	0	0x000000	3	3	3	0x001bc3	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186a29	0xa	0x153910	0x1a36b8	4	0x1a36d8	0	0x000000	0	0x000000	4	4	4	0x001c63	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186a69	0xa	0x153910	0x1a36f8	4	0x1a3718	0	0x000000	0	0x000000	4	4	4	0x001d13	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186a88	0xa	0x153910	0x1a3738	1	0x1a3758	0	0x000000	0	0x000000	1	1	1	0x001e79	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186aa8	0xa	0x153910	0x1a3760	1	0x1a3780	0	0x000000	0	0x000000	1	1	1	0x001fe9	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186ad8	0xa	0x153910	0x1a3788	3	0x1a37a8	0	0x000000	0	0x000000	3	3	3	0x0021c3	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186ba3	0xa	0x153910	0x1a37c0	13	0x1a37e0	0	0x000000	0	0x000000	13	13	13	0x0023cc	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186cbe	0xa	0x153910	0x1a3848	18	0x1a3868	0	0x000000	0	0x000000	18	18	18	0x003092	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186cd4	0xa	0x153910	0x1a38f8	1	0x1a3918	0	0x000000	0	0x000000	1	1	1	0x007b20	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186ce7	0xa	0x153910	0x1a3920	1	0x1a3940	0	0x000000	0	0x000000	1	1	1	0x00dce3	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186d0f	0xa	0x153910	0x1a3948	3	0x1a3968	0	0x000000	0	0x000000	3	3	3	0x00feda	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186e90	0xa	0x153910	0x1a3980	32	0x1a39a0	0	0x000000	0	0x000000	32	30	30	0x0104ee	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186ea3	0xa	0x153910	0x1a3aa0	1	0x1a3ac0	0	0x000000	0	0x000000	1	1	1	0x0190f6	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186eb6	0xa	0x153910	0x1a3ac8	1	0x1a3ae8	0	0x000000	0	0x000000	1	1	1	0x01ce9e	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186ed2	0xa	0x153910	0x1a3af0	2	0x1a3b10	0	0x000000	0	0x000000	2	2	2	0x01d4b3	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186ee5	0xa	0x153910	0x1a3b20	1	0x1a3b40	0	0x000000	0	0x000000	1	1	1	0x01d9eb	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186f14	0xa	0x153910	0x1a3b48	4	0x1a3b68	0	0x000000	0	0x000000	4	4	4	0x01f088	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186f27	0xa	0x153910	0x1a3b88	1	0x1a3ba8	0	0x000000	0	0x000000	1	1	1	0x0201cf	mov eax,FuncInfo; jmp shared __CxxFrameHandler
0x186f3a	0xa	0x153910	0x1a3bb0	1	0x1a3bd0	0	0x000000	0	0x000000	1	1	1	0x020d3e	mov eax,FuncInfo; jmp shared __CxxFrameHandler
