# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Exact executable-native extents; these override derived rooms.
rva	size	source	evidence
0x001000	0x5b	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001060	0x7a	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x0010e0	0x37	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001120	0x226	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001350	0x1a3	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001500	0x92	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x0015a0	0x88	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001630	0x63	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x0016a0	0x1c	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x0016c0	0x16	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x0016e0	0x1a	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001700	0x4	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001710	0x22	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001740	0x1b	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001760	0x169	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x0018d0	0x20	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x0018f0	0x27	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001920	0x20	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001940	0x7	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001950	0x3	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001960	0x10	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001970	0x1	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001980	0x3	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001990	0x51	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x0019f0	0x188	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001b80	0x1e	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001ba0	0x11	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001bc0	0x73	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001c40	0x1e	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001c60	0xaa	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001d10	0x6d	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001d80	0xb7	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001e40	0x29	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001e70	0x163	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x001fe0	0x17b	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x002160	0x59	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x0021c0	0x1b5	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x002380	0xf	.CRT$XC	recognized framed dynamic-initializer wrapper
0x027c60	0xa	.CRT$XC	FPO exact extent
0x027c70	0xa	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x027c80	0xe	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x027c90	0xa	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x027ca0	0x6	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x027cb0	0x6	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x027cc0	0x6	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x027cd0	0x6	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x027ce0	0x6	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x027cf0	0x6	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
0x027d00	0x6	FPO	IMAGE_DEBUG_TYPE_FPO exact function extent
