# Selected-toolchain, globally unique masked COFF providers.
rva	name	lib	confidence	source
0x0563d0	??0DNameNode@@IAE@XZ	LIBCMT.LIB	HIGH	fid-census:1f18290e7cc8:build/intel/mt_obj/undname.obj:898a0a702900
0x150c86	?ExtTextOutA@CDC@@UAEHHHIPBUtagRECT@@PBDIPAH@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/wingdi.obj:e0498a2ae480
0x150cab	?TabbedTextOutA@CDC@@UAE?AVCSize@@HHPBDHHPAHH@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/wingdi.obj:e0498a2ae480
0x150eb1	??0CFileFind@@QAE@XZ	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x150f15	??1CFileFind@@UAE@XZ	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x150f57	?Close@CFileFind@@QAEXXZ	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x150fa1	?FindFile@CFileFind@@UAEHPBDK@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x151087	?MatchesMask@CFileFind@@UBEHK@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x1510a1	?GetLastAccessTime@CFileFind@@UBEHPAU_FILETIME@@@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x1510c5	?GetLastWriteTime@CFileFind@@UBEHPAU_FILETIME@@@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x1510e9	?GetCreationTime@CFileFind@@UBEHPAU_FILETIME@@@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x15110d	?GetLastAccessTime@CFileFind@@UBEHAAVCTime@@@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x151138	?GetLastWriteTime@CFileFind@@UBEHAAVCTime@@@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x151163	?GetCreationTime@CFileFind@@UBEHAAVCTime@@@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x15118e	?IsDots@CFileFind@@UBEHXZ	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x151201	?GetFileURL@CFileFind@@UBE?AVCString@@XZ	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x151295	?GetFilePath@CFileFind@@UBE?AVCString@@XZ	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x15132b	?GetFileTitle@CFileFind@@UBE?AVCString@@XZ	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x1513bc	?GetFileName@CFileFind@@UBE?AVCString@@XZ	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x15142d	?GetLength64@CFileFind@@QBE_JXZ	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/filefind.obj:89513cb973a2
0x15151f	?BeginDrag@CDragListBox@@UAEHVCPoint@@@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/winctrl2.obj:2e619b4dca0e
0x151558	?Dragging@CDragListBox@@UAEIVCPoint@@@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/winctrl2.obj:2e619b4dca0e
0x1515a2	?Dropped@CDragListBox@@UAEXHVCPoint@@@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/winctrl2.obj:2e619b4dca0e
0x151681	?DrawInsert@CDragListBox@@UAEXH@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/winctrl2.obj:2e619b4dca0e
0x1516a6	?DrawSingle@CDragListBox@@QAEXH@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/winctrl2.obj:2e619b4dca0e
0x15179d	?OnChildNotify@CDragListBox@@MAEHIIJPAJ@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/winctrl2.obj:2e619b4dca0e
0x1518d0	?AddBitmap@CToolBarCtrl@@QAEHHPAVCBitmap@@@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/winctrl2.obj:2e619b4dca0e
0x151904	?AddBitmap@CToolBarCtrl@@QAEHHI@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/winctrl2.obj:2e619b4dca0e
0x15193b	?SaveState@CToolBarCtrl@@QAEXPAUHKEY__@@PBD1@Z	NAFXCW.LIB	HIGH	fid-census:70a8d16f09bf:$NW/winctrl2.obj:2e619b4dca0e
