# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
descriptor_order	dll	thunk_order	iat_rva	kind	name	ordinal	hint	descriptor_timestamp	forwarder_chain
0	DDRAW.dll	0	0x23291c	name	DirectDrawEnumerateA		7	0x00000000	0x00000000
0	DDRAW.dll	1	0x232920	name	DirectDrawCreate		5	0x00000000	0x00000000
1	WINMM.dll	0	0x232fac	name	timeGetTime		151	0x00000000	0x00000000
2	DSOUND.dll	0	0x232928	name	DirectSoundCreate		3	0x00000000	0x00000000
3	ole32.dll	0	0x233008	name	CoCreateInstance		12	0x00000000	0x00000000
3	ole32.dll	1	0x23300c	name	CoUninitialize		72	0x00000000	0x00000000
3	ole32.dll	2	0x233010	name	CoInitialize		38	0x00000000	0x00000000
4	smackw32.dll	0	0x233018	name	_SmackBufferFocused@4		16	0x00000000	0x00000000
4	smackw32.dll	1	0x23301c	name	_SmackWait@4		56	0x00000000	0x00000000
4	smackw32.dll	2	0x233020	name	_SmackNextFrame@4		37	0x00000000	0x00000000
4	smackw32.dll	3	0x233024	name	_SmackBlit@44		1	0x00000000	0x00000000
4	smackw32.dll	4	0x233028	name	_SmackDoFrame@4		32	0x00000000	0x00000000
4	smackw32.dll	5	0x23302c	name	_SmackBlitSetPalette@12		8	0x00000000	0x00000000
4	smackw32.dll	6	0x233030	name	_SmackBufferOpen@24		19	0x00000000	0x00000000
4	smackw32.dll	7	0x233034	name	_SmackSoundOnOff@8		44	0x00000000	0x00000000
4	smackw32.dll	8	0x233038	name	_SmackBlitOpen@4		6	0x00000000	0x00000000
4	smackw32.dll	9	0x23303c	name	_SmackOpen@12		38	0x00000000	0x00000000
4	smackw32.dll	10	0x233040	name	_SmackBlitClose@4		3	0x00000000	0x00000000
4	smackw32.dll	11	0x233044	name	_SmackClose@4		28	0x00000000	0x00000000
4	smackw32.dll	12	0x233048	name	_SmackBufferClose@4		13	0x00000000	0x00000000
4	smackw32.dll	13	0x23304c	name	_SmackToBuffer@28		51	0x00000000	0x00000000
4	smackw32.dll	14	0x233050	name	_SmackUseMMX@4		54	0x00000000	0x00000000
4	smackw32.dll	15	0x233054	name	_SmackSoundUseDirectSound@4		47	0x00000000	0x00000000
5	KERNEL32.dll	0	0x232a88	name	LoadResource		405	0x00000000	0x00000000
5	KERNEL32.dll	1	0x232a8c	name	FindResourceA		137	0x00000000	0x00000000
5	KERNEL32.dll	2	0x232a90	name	LockResource		419	0x00000000	0x00000000
5	KERNEL32.dll	3	0x232a94	name	GlobalAlloc		341	0x00000000	0x00000000
5	KERNEL32.dll	4	0x232a98	name	GetFileAttributesA		232	0x00000000	0x00000000
5	KERNEL32.dll	5	0x232a9c	name	GetFileTime		238	0x00000000	0x00000000
5	KERNEL32.dll	6	0x232aa0	name	LocalFileTimeToFileTime		408	0x00000000	0x00000000
5	KERNEL32.dll	7	0x232aa4	name	SystemTimeToFileTime		580	0x00000000	0x00000000
5	KERNEL32.dll	8	0x232aa8	name	SetFileTime		538	0x00000000	0x00000000
5	KERNEL32.dll	9	0x232aac	name	SetFileAttributesA		535	0x00000000	0x00000000
