# Absolute-relocation sites recovered from rom1-engine-ru-buka-5ba821f3.exe by scripts/find_relocs.py.
# channels=code,data,switch dropped=data/code-isolated,unmapped
site_rva	kind
0x1003	dir32
0x1021	dir32
0x1063	dir32
0x10a7	dir32
0x10c9	dir32
0x1123	dir32
0x1311	dir32
0x1359	dir32
0x1503	dir32
0x15a3	dir32
0x192b	dir32
0x1942	dir32
0x1993	dir32
0x19af	dir32
0x19d1	dir32
0x1bc3	dir32
0x1bdf	dir32
0x1c13	dir32
0x1c63	dir32
0x1c81	dir32
0x1cc0	dir32
0x1ccd	dir32
0x1d13	dir32
0x1d2f	dir32
0x1d6d	dir32
0x1d93	dir32
0x1dda	dir32
0x1dea	dir32
0x1e09	dir32
0x1e79	dir32
0x1e94	dir32
0x1ebc	dir32
0x1f72	dir32
0x1fe9	dir32
0x200d	dir32
0x20e7	dir32
0x216c	dir32
0x21c3	dir32
0x2225	dir32
0x2232	dir32
0x2393	dir32
0x23a2	dir32
0x23b4	dir32
0x23cc	dir32
0x241b	dir32
0x2424	dir32
0x2477	dir32
0x2480	dir32
0x24c0	dir32
0x24c9	dir32
0x251d	dir32
0x2526	dir32
0x257a	dir32
0x2583	dir32
0x25e9	dir32
0x25f2	dir32
0x2646	dir32
0x264f	dir32
0x2696	dir32
0x3092	dir32
0x30b8	dir32
0x340a	dir32
0x3472	dir32
0x3494	dir32
0x34b3	dir32
0x34ea	dir32
0x3509	dir32
0x352b	dir32
0x354a	dir32
0x356c	dir32
0x358b	dir32
0x35ad	dir32
0x3635	dir32
0x366c	dir32
0x36f4	dir32
0x4152	dir32
0x41fd	dir32
0x44fe	dir32
0x458f	dir32
0x4631	dir32
0x497f	dir32
0x4a24	dir32
0x4a9f	dir32
0x4c7f	dir32
0x4ce5	dir32
0x4d50	dir32
0x4ee8	dir32
0x4f00	dir32
0x4f04	dir32
0x4f08	dir32
0x4f0c	dir32
0x4f10	dir32
0x4f14	dir32
0x4f18	dir32
0x4f1c	dir32
0x4f20	dir32
0x4f24	dir32
0x4f28	dir32
0x50e4	dir32
0x5903	dir32
0x5ae8	dir32
0x5b0b	dir32
0x5b83	dir32
0x5be6	dir32
0x5c58	dir32
0x5cd6	dir32
0x5d67	dir32
0x615f	dir32
0x6189	dir32
0x61be	dir32
0x6276	dir32
0x6397	dir32
0x65c0	dir32
0x65e3	dir32
0x665d	dir32
0x66bf	dir32
0x672f	dir32
0x67ac	dir32
0x6c4a	dir32
0x6c73	dir32
0x6cf0	dir32
0x6d54	dir32
0x6da4	dir32
0x6e04	dir32
0x6e67	dir32
0x6efa	dir32
0x6f00	dir32
0x6fb2	dir32
0x7b20	dir32
0x7cf9	dir32
0x7e1c	dir32
0x7e37	dir32
0x7eb0	dir32
0x8028	dir32
0x8033	dir32
0x803e	dir32
0x836e	dir32
0x83d6	dir32
0x8467	dir32
0x8474	dir32
0x8529	dir32
0x8536	dir32
0x85d4	dir32
0x85e1	dir32
0x8696	dir32
0x86a3	dir32
0x870b	dir32
0x876e	dir32
0x8822	dir32
0x889d	dir32
0x88aa	dir32
0x8954	dir32
0x8961	dir32
0x8a25	dir32
0x8b2b	dir32
0x8b36	dir32
0x8b41	dir32
0x8bb9	dir32
0x8bc3	dir32
0x8dc8	dir32
0x8e30	dir32
0x8ec1	dir32
0x8ece	dir32
0x8f57	dir32
0x8f64	dir32
0x8fd6	dir32
0x8fe3	dir32
0x9062	dir32
0x906f	dir32
0x909e	dir32
0x90d5	dir32
0x9153	dir32
0x91ce	dir32
0x91db	dir32
0x9259	dir32
0x9266	dir32
0x92de	dir32
0x937c	dir32
0x93e3	dir32
0x9422	dir32
0x942f	dir32
0x94b3	dir32
0x997a	dir32
0x99c1	dir32
0x9a4d	dir32
0x9cd0	dir32
0x9d4a	dir32
0x9fff	dir32
0xa046	dir32
0xa0d2	dir32
0xa17b	dir32
0xa1b5	dir32
0xa1eb	dir32
0xa21b	dir32
0xa23e	dir32
0xa297	dir32
0xa408	dir32
0xa52b	dir32
0xa5cd	dir32
0xa5ea	dir32
0xa608	dir32
0xa663	dir32
0xa67d	dir32
0xa689	dir32
0xa6fb	dir32
0xa742	dir32
0xa75c	dir32
0xa768	dir32
0xa79c	dir32
0xa7af	dir32
0xa801	dir32
0xa81b	dir32
0xa8a8	dir32
0xa8fa	dir32
0xa90e	dir32
0xa943	dir32
0xa996	dir32
0xa9aa	dir32
0xaa19	dir32
0xaa63	dir32
0xaa6b	dir32
0xaabb	dir32
0xaae7	dir32
0xab3a	dir32
0xab4e	dir32
0xab83	dir32
0xabd6	dir32
0xabea	dir32
0xac59	dir32
0xac66	dir32
0xac6f	dir32
0xacbf	dir32
0xacec	dir32
0xad3e	dir32
0xad52	dir32
0xad8c	dir32
0xaddf	dir32
0xadf3	dir32
0xae61	dir32
0xaede	dir32
0xaeeb	dir32
0xaf3d	dir32
0xaf51	dir32
0xaf8b	dir32
0xafde	dir32
0xaff2	dir32
0xb060	dir32
0xb202	dir32
0xb4bc	dir32
0xb4e1	dir32
0xbddf	dir32
0xbe19	dir32
0xbe4f	dir32
0xbe7f	dir32
0xc109	dir32
0xc695	dir32
0xc742	dir32
0xc786	dir32
0xc78e	dir32
0xc7e1	dir32
0xc7e9	dir32
0xc80c	dir32
0xc814	dir32
0xc88f	dir32
0xc897	dir32
0xc8bd	dir32
0xc8c5	dir32
0xc923	dir32
0xc931	dir32
0xc939	dir32
0xc959	dir32
0xc961	dir32
0xc977	dir32
0xc97f	dir32
0xc99a	dir32
0xc9a2	dir32
0xc9ad	dir32
0xc9ba	dir32
0xc9c2	dir32
0xc9e2	dir32
0xc9ea	dir32
0xca40	dir32
0xcae3	dir32
0xcb47	dir32
0xcb56	dir32
0xcb6c	dir32
0xcb76	dir32
0xcb8e	dir32
0xcb9a	dir32
0xcbb2	dir32
0xcbf6	dir32
0xcc0c	dir32
0xcc26	dir32
0xcc86	dir32
0xcc90	dir32
0xcce8	dir32
0xcd9b	dir32
0xce46	dir32
0xcef2	dir32
0xcf9e	dir32
0xd032	dir32
0xd07a	dir32
0xd0fb	dir32
0xd253	dir32
0xd27c	dir32
0xd287	dir32
0xd2a4	dir32
0xd2ae	dir32
0xd2d4	dir32
0xd2ed	dir32
0xd2f6	dir32
0xd2ff	dir32
0xd305	dir32
0xd31a	dir32
0xd32f	dir32
0xd343	dir32
0xd34e	dir32
0xd35a	dir32
0xd36a	dir32
0xd375	dir32
0xd383	dir32
0xd38e	dir32
0xd39f	dir32
0xd3b4	dir32
0xd3be	dir32
0xd3ca	dir32
0xd3db	dir32
0xd3e5	dir32
0xd3f3	dir32
0xd408	dir32
0xd415	dir32
0xd421	dir32
0xd432	dir32
0xd45e	dir32
0xd4b0	dir32
0xd4b6	dir32
0xd4c1	dir32
0xd4cb	dir32
0xd4d6	dir32
0xd4e1	dir32
0xd4eb	dir32
0xd512	dir32
0xd519	dir32
0xd522	dir32
0xd53b	dir32
0xd544	dir32
0xd5ea	dir32
0xd600	dir32
0xd625	dir32
0xd732	dir32
0xd74d	dir32
0xd757	dir32
0xd76c	dir32
0xd775	dir32
0xd787	dir32
0xd78f	dir32
0xd79b	dir32
0xd81b	dir32
0xd824	dir32
0xd833	dir32
0xd876	dir32
0xd880	dir32
0xd8ab	dir32
0xd8b6	dir32
0xd9d3	dir32
0xd9e7	dir32
0xd9f2	dir32
0xda0f	dir32
0xda20	dir32
0xda31	dir32
0xda41	dir32
0xda4c	dir32
0xda5d	dir32
0xda6d	dir32
0xda7e	dir32
0xda89	dir32
0xda91	dir32
0xdaaa	dir32
0xdab4	dir32
0xdb0a	dir32
0xdb14	dir32
0xdb4a	dir32
0xdb54	dir32
0xdbe7	dir32
0xdc07	dir32
0xdc13	dir32
0xdc8d	dir32
0xdcbd	dir32
0xdcc1	dir32
0xdcc5	dir32
0xdcc9	dir32
0xdccd	dir32
0xdcd1	dir32
0xdcd5	dir32
0xdcd9	dir32
0xdce3	dir32
0xdd7a	dir32
0xecae	dir32
0xecb5	dir32
0xed28	dir32
0xed36	dir32
0xed7d	dir32
0xed8b	dir32
0xeda5	dir32
0xedae	dir32
0xedf9	dir32
0xee07	dir32
0xee21	dir32
0xee2a	dir32
0xee94	dir32
0xee98	dir32
0xee9c	dir32
0xeea0	dir32
0xeea4	dir32
0xeea8	dir32
0xeeac	dir32
0xeeb0	dir32
0xeeb4	dir32
0xef85	dir32
0xef9f	dir32
0xf0ec	dir32
0xf0fa	dir32
0xf17e	dir32
0xf2c2	dir32
0xf2f7	dir32
0xf308	dir32
0xf411	dir32
0xf42b	dir32
0xf47c	dir32
0xf483	dir32
0xf504	dir32
0xf50e	dir32
0xf51d	dir32
0xf571	dir32
0xf5c5	dir32
0xf619	dir32
0xf6d2	dir32
0xf6d9	dir32
0xf7ac	dir32
0xf7b3	dir32
0xf96d	dir32
0xf9c7	dir32
0xf9cd	dir32
0xf9f1	dir32
0xfa4b	dir32
0xfa51	dir32
0xfa75	dir32
0xfaaa	dir32
0xfab9	dir32
0xfada	dir32
0xfae2	dir32
0xfaea	dir32
0xfaef	dir32
0xfafd	dir32
0xfb03	dir32
0xfb16	dir32
0xfb1b	dir32
0xfb21	dir32
0xfb42	dir32
0xfb77	dir32
0xfb86	dir32
0xfba7	dir32
0xfbb2	dir32
0xfbbc	dir32
0xfbc6	dir32
0xfbcc	dir32
0xfbd1	dir32
0xfbf9	dir32
0xfc04	dir32
0xfc0e	dir32
0xfc18	dir32
0xfc1d	dir32
0xfc23	dir32
0xfcc9	dir32
0xfccd	dir32
0xfcd1	dir32
0xfcd5	dir32
0xfcd9	dir32
0xfcdd	dir32
0xfce1	dir32
0xfce5	dir32
0xfce9	dir32
0xfced	dir32
0xfcf1	dir32
0xfcf5	dir32
0xfd6d	dir32
0xfd71	dir32
0xfd75	dir32
0xfd79	dir32
0xfd7d	dir32
0xfd81	dir32
0xfd85	dir32
0xfd89	dir32
0xfd8d	dir32
0xfda5	dir32
0xfda9	dir32
0xfdad	dir32
0xfdb1	dir32
0xfdb5	dir32
0xfdb9	dir32
0xfdbd	dir32
0xfdc1	dir32
0xfdc5	dir32
0xfdc9	dir32
0xfdcd	dir32
0xfdd1	dir32
0xfdd5	dir32
0xfdd9	dir32
0xfeda	dir32
0xfef4	dir32
0xff43	dir32
0xff48	dir32
0xff52	dir32
0xff57	dir32
0xff61	dir32
0xff6b	dir32
0xffc0	dir32
0xfff9	dir32
0x1004c	dir32
0x1006d	dir32
0x1009b	dir32
0x100a6	dir32
0x1010b	dir32
0x10117	dir32
0x101ae	dir32
0x10231	dir32
0x10278	dir32
0x102bc	dir32
0x10418	dir32
0x1042f	dir32
0x1043a	dir32
0x10442	dir32
0x1045d	dir32
0x10475	dir32
0x1047f	dir32
0x10485	dir32
0x10495	dir32
0x104a2	dir32
0x104d6	dir32
0x104ee	dir32
0x1055e	dir32
0x105ab	dir32
0x105b2	dir32
0x105f9	dir32
0x1061a	dir32
0x1063e	dir32
0x1067f	dir32
0x10690	dir32
0x106c8	dir32
0x10752	dir32
0x1079d	dir32
0x10804	dir32
0x10894	dir32
0x1089a	dir32
0x108a7	dir32
0x108b5	dir32
0x108f2	dir32
0x10900	dir32
0x10925	dir32
0x10934	dir32
0x1097a	dir32
0x109a8	dir32
0x109b1	dir32
0x109ca	dir32
0x10a0f	dir32
0x10a3c	dir32
0x10a45	dir32
0x10a64	dir32
0x10a91	dir32
0x10a9a	dir32
0x10ab3	dir32
0x10ade	dir32
0x10b0c	dir32
0x10b15	dir32
0x10b2e	dir32
0x10b58	dir32
0x10b86	dir32
0x10b8f	dir32
0x10ba8	dir32
0x10bd0	dir32
0x10bfd	dir32
0x10c06	dir32
0x10c1f	dir32
0x10c7e	dir32
0x10c8d	dir32
0x10c97	dir32
0x10da3	dir32
0x10e3a	dir32
0x10e4f	dir32
0x10e68	dir32
0x10eb4	dir32
0x10ee3	dir32
0x10f0f	dir32
0x10f3c	dir32
0x10f6b	dir32
0x10f9a	dir32
0x10fca	dir32
0x1102f	dir32
0x1105e	dir32
0x1108e	dir32
0x110bf	dir32
0x110ee	dir32
0x11120	dir32
0x11151	dir32
0x11182	dir32
0x111b4	dir32
0x111e5	dir32
0x11220	dir32
0x11235	dir32
0x1124e	dir32
0x1128e	dir32
0x112a3	dir32
0x112bc	dir32
0x11300	dir32
0x11309	dir32
0x1133d	dir32
0x1134f	dir32
0x11356	dir32
0x1135c	dir32
0x11368	dir32
0x1136e	dir32
0x11383	dir32
0x11390	dir32
0x114c7	dir32
0x114dc	dir32
0x114f5	dir32
0x11521	dir32
0x11526	dir32
0x11742	dir32
0x1174a	dir32
0x117d2	dir32
0x117f6	dir32
0x11818	dir32
0x1184b	dir32
0x1186d	dir32
0x1188c	dir32
0x118aa	dir32
0x118fd	dir32
0x11922	dir32
0x11947	dir32
0x1196c	dir32
0x11991	dir32
0x119b7	dir32
0x119dd	dir32
0x11a03	dir32
0x11efb	dir32
0x11fc1	dir32
0x11ffa	dir32
0x1205c	dir32
0x1206b	dir32
0x12173	dir32
0x12182	dir32
0x124fb	dir32
0x12613	dir32
0x12628	dir32
0x12641	dir32
0x12681	dir32
0x12695	dir32
0x126ae	dir32
0x126d1	dir32
0x126fa	dir32
