# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# MFC 4.x CRuntimeClass records recovered structurally from retail.
class	rva	size	name_rva	object_size	own_bytes	base_class	base_rva	schema	dynamic	create_rva	next_rva
AreaEffect	0x1c2558	0x18	0x1c5874	80	12	SpellEffect	0x1c2528	0x1	1	0x0fc83f	0x000000
Armor	0x1c3378	0x18	0x1c5d44	104	24	Item	0x1c3360	0x1	1	0x10c229	0x000000
Building	0x1c32a8	0x18	0x1c5cc4	108	48	Token	0x1c2440	0x1	1	0x1040f2	0x000000
CA16	0x1972d0	0x18	0x1b8b7c	36	0	CSprite256	0x197330	0xffff	0	0x000000	0x000000
CAirUnit	0x199220	0x18	0x1bc9a8	432	0	CUnit	0x199208	0xffff	0	0x000000	0x000000
CAnimateCtrl	0x19edd0	0x18	0x19eef0	60	0	CWnd	0x19e4f0	0xffff	0	0x000000	0x000000
CArchiveException	0x19e8c0	0x18	0x19e8d8	16	8	CException	0x19d5e8	0xffff	0	0x000000	0x000000
CBackPack	0x1991f0	0x18	0x1bc9bc	312	0	CGameObject	0x199178	0xffff	0	0x000000	0x000000
CBitmap	0x19d0f0	0x18	0x19d14c	8	0	CGdiObject	0x19d090	0xffff	0	0x000000	0x000000
CBmp256	0x197360	0x18	0x1b8b44	36	0	CGameBitmap	0x197300	0xffff	0	0x000000	0x000000
CBmp64k	0x197348	0x18	0x1b8b4c	36	0	CGameBitmap	0x197300	0xffff	0	0x000000	0x000000
CBridge	0x1991a8	0x18	0x1bc9f8	320	8	CStructure	0x199190	0xffff	0	0x000000	0x000000
CBrush	0x19d0c0	0x18	0x19d15c	8	0	CGdiObject	0x19d090	0xffff	0	0x000000	0x000000
CButton	0x19ffc8	0x18	0x1a006c	60	0	CWnd	0x19e4f0	0xffff	0	0x000000	0x000000
CByteArray	0x1c93e0	0x18	0x19e6e0	20	16	CObject	0x19cda0	0x0	1	0x185516	0x000000
CClientDC	0x19d048	0x18	0x19d190	20	4	CDC	0x19d030	0xffff	0	0x000000	0x000000
CCmdTarget	0x19df30	0x18	0x19df48	28	24	CObject	0x19cda0	0xffff	0	0x000000	0x000000
CComboBox	0x19fff8	0x18	0x1a0054	60	0	CWnd	0x19e4f0	0xffff	0	0x000000	0x000000
CControlBar	0x19db30	0x18	0x19db48	120	60	CWnd	0x19e4f0	0xffff	0	0x000000	0x000000
CCtrlView	0x19fd48	0x18	0x19fd60	72	8	CView	0x19db18	0xffff	0	0x000000	0x000000
CDC	0x19d030	0x18	0x19d19c	16	12	CObject	0x19cda0	0xffff	1	0x184717	0x000000
CDWordArray	0x1c8ec8	0x18	0x19cf08	20	16	CObject	0x19cda0	0x0	1	0x1845d1	0x000000
CDialog	0x19e0b0	0x18	0x19e0c8	92	32	CWnd	0x19e4f0	0xffff	0	0x000000	0x000000
CDib	0x1ba688	0x18	0x1ba6a0	56	52	CObject	0x19cda0	0x0	1	0x04ad40	0x000000
CDocument	0x1a0690	0x18	0x1a06a8	80	52	CCmdTarget	0x19df30	0xffff	0	0x000000	0x000000
CDragListBox	0x19ed40	0x18	0x19ef44	64	4	CListBox	0x19ffe0	0xffff	0	0x000000	0x000000
CEdit	0x1a0010	0x18	0x1a004c	60	0	CWnd	0x19e4f0	0xffff	0	0x000000	0x000000
CException	0x19d5e8	0x18	0x19d65c	8	4	CObject	0x19cda0	0xffff	0	0x000000	0x000000
